Timestamp,Name of Organization,Description of Organization,Street Address,City,State,Zip Code,Year Founded,Industry,Homepage URL,Facebook URL,Twitter URL,LinkedIn URL,Blog URL,"Enter the names, titles, email addresses, LinkedIn URL's, and Twitter URL's of key people at your organization below.",key people json,Logo Image URL,Headcount ,Innovation Indicator ,Is your organization private or public?,"If applicable, please include the DATE and AMOUNT of the last round of funding your organization closed.",funding json,Marketing Contact Name,Marketing Contact Position,Marketing Contact Email
5/31/2013 12:00:59,test,test,test,test,test,test,test,Aviation & Aerospace,test,test,test,test,test,test,,test,test,test,Private,test,,test,test,test
5/31/2013 15:17:45,Gradeable,"Gradeable is a unique new assessment tool developed by a team of recent Harvard and MIT grads.  Gradeable helps teachers give smarter, faster feedback to students, while reducing their overall workload.
",P.O. Box 425716,Cambridge,MA,2142,2012,Education Management,http://www.gradeable.com,http://www.facebook.com/gradeable,@gradeable,http://www.linkedin.com/company/gradeable/,http://blog.gradeable.com,"Parul Singh, CEO & Founder - parul@gradeable.com - https://twitter.com/parulia","[
{
""name"":""Parul Singh"",
""title"":"""",
""linkedin"":""CEO & Founder"",
""email"":""parul@gradeable.com""
""linkedin""""
""twitter"":""https://twitter.com/parulia"",
},
]",http://beehive.mit.edu/wp-content/uploads/2012/05/Gradeable.png,7,"The Gradeable team developed our technology at MIT with teachers at the heart of our solution.  Gradeable is using the same technology that your bank uses to read your checks to help teachers quickly grade and analyze student work.  We help them scan and automatically grade student questions, and give digital feedback on longer essay-type questions.  Gradeable is working with some of the best schools in the country and embedding their most innovative practices in an easy to use, affordable tool that any teacher in the country can start using today.",Private,"11/2012, $100K","[
    {
        ""funding_date"":""11/2012"",
        ""funding_amount"":""100,000"",
    },
]",Parul Singh,Founder,parul@gradeable.com
5/31/2013 16:46:03,Infrared5,"Infrared5 is a digital agency that specializes in the creation of interactive experiences, applications and games for mobile platforms and the Web. An exceptionally curated team of developers, designers, problem solvers, gamers and all-around creative personalities, we are passionate about designing sophisticated experiences and developing innovative technology solutions.

",500 Amory Street,Boston,MA,2130,2006,Information Technology & Services,www.infrared5.com,http://www.facebook.com/pages/Infrared5/111802425514799,@infrared5,http://www.linkedin.com/company/infrared5?goback=.fcs_GLHD_infrared5_false_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2&trk=top_nav_home,http://blog.infrared5.com/,"Rebecca Allen - CEO + Creative Director + Co-Founder - @rebecca_allen
Chris Allen - President + Co-Founder - @mrchrisallen
Dominick Accattato - CTO + Co-Founder - @newviewnetworks","[
    {
        ""name"":""Rebecca Allen"",
        ""title"":""CEO, Creative Director + Co-Founder"",
        ""email"":"""" ,
        ""linkedin"":"""",
        ""twitter"":""http://twitter.com/rebecca_allen"",
    },
    {
        ""name"":""Chris Allen"",
        ""title"":""President + Co-Founder"",
        ""email"":"""",
        ""linkedin"":"""",
        ""twitter"":""mrchrisallen"",
    },    {
        ""name"":""Dominick Accattato"",
        ""title"":""CTO + Co-Founder"",
        ""email"":"""" ,
        ""linkedin"":"""",
        ""twitter"":""http://twitter.com/newviewnetworks"",
    },
]
",http://infrared5.com/,15,"We dedicate our days to collaborating with our clients to solve their business needs, and find inspiration in the challenges we meet along the way. From design to development, our services include creating websites, interactive applications, games, collaboration tools, 3D experiences, streaming media solutions and pretty much any digital experience you can imagine. If you're looking to combine technologies for a unique need or working to bring an imaginative experience to life, you're at the right place.",Private,N/A,,Adam Doucette,Business Development Consultant,adam@infrared5.com
6/4/2013 11:24:37,Actifio,"Actifio is radically simple copy data storage. Our copy data storage platform lets businesses recover anything instantly, for up to 90% less. Actifio eliminates siloed data protection applications, virtualizing data management to deliver an application-centric, SLA-driven solution that decouples the management of data from storage, network and server infrastructure. Actifio has helped liberate IT organizations and service providers in 18 countries from vendor lock-in and the management challenges associated with exploding data growth. Actifio is headquartered in Waltham, Mass., with offices around the world. For more information, please visit www.actifio.com or email info@actifio.com.",333 Wyman Street,Waltham,Massachusetts,2451,2009,Information Technology & Services,http://www.actifio.com/,https://www.facebook.com/actifio,https://twitter.com/actifio,http://www.linkedin.com/company/399246,http://www.actifio.com/company/blog/,"Ash Ashutosh, Founder & CEO
www.linkedin.com/pub/ash-ashutosh/0/4a1/601
https://twitter.com/ashashutosh

Jim Sullivan, President
www.linkedin.com/pub/jim-sullivan/35/86/7b7

Mike Troiano, Chief Marketing Officer
www.linkedin.com/in/mtroiano/
https://twitter.com/miketrap


David Chang, VP, Products & Co-Founder
www.linkedin.com/pub/david-chang/1/51a/96

Donna Williams, VP, Global Support & Services
www.linkedin.com/pub/donna-williams/1/12/1","[
{
""name"":"" Ash Ashutosh” ""title"":"" Founder & CEO"",
""email"":"""",
""linkedin""www.linkedin.com/pub/ash-ashutosh/0/4a1/601""
""twitter"":""https://twitter.com/ashashutosh"",
},
{
""name"":""Jim Sullivan"",
""title"":""President"",
""email"":"""",
""linkedin"":""www.linkedin.com/pub/jim-sullivan/35/86/7b7"",
""twitter"":"""",
},
{
""name"":""Mike Troiano"",
""title"":""Chief Marketing Officer"",
""email"":"""",
""linkedin"":""www.linkedin.com/in/mtroiano/"",
""twitter"":""https://twitter.com/miketrap"",
},
{
""name"":""David Chang"",
""title"":""VP, Products & Co-Founder"",
""email"":"""",
""linkedin"":""www.linkedin.com/pub/david-chang/1/51a/96"",
""twitter"":"""",
},
{
""name"":""Donna Williams"",
""title"":""VP, Global Support & Services"",
""email"":"""",
""linkedin"":""www.linkedin.com/pub/donna-williams/1/12/1"",
""twitter"":"""",
},
]",http://www.actifio.com/assets/logo.png,250,"Actifio helps businesses recover anything instantly for up to 90% less than they're paying today for silod systems designed to support backup, snapshot, disaster recovery, business continuity, test and dev, and analytics applications. We create a single, golden copy of whatever you want to protect, and store incremental changes to it from there. It's radically simple copy data management... and customers in 18 countries around the world love it.",Private,"March 6, 2013, $50 Million","[
    {
        ""funding_date"":""3/2013"",
        ""funding_amount"":""50,000,000"",
    },",Andrew Gilman,Sr. Marketing Director,andrew.gilman@actifio.com
6/4/2013 11:22:20,BoomWriter Media,"BoomWriter Media, a Cambridge-based digital education company, engages children and educators in content creation and storytelling collaboration. Our award-winning, Web-based publishing platform brings passionate educators, technology experts, corporate sponsors, and enthusiastic parents together to help students develop their reading, writing, critical thinking and other essential 21st century literacy skills. BoomWriter partners with authors, celebrities, and educators to provide story starts to spark kids' imaginations and inspire story collaboration with children (9-16 years old) in competition for publication. BoomWriter offers educators an easy to use instructional tool that adheres to the Common Core State Standards and provides an engaging platform that inspires students to become master storytellers through collaborative writing projects. Teachers and students from more than 4,000 schools in 60 countries have joined the BoomWriter community including Public Schools (Chicago, Boston, Brockton, Milton and more), Boys & Girls Clubs of Boston, Girl Scouts and WGBH.",1 Broadway,Cambridge,MA,2138,2010,E-learning,http://boomwriter.com,https://www.facebook.com/BoomWriter,https://twitter.com/Boomwriter_,http://www.linkedin.com/company/1071182?,http://boomwriter.tumblr.com,"Chris Twyman, ceo and co-founder
chris@boomwriter.com
www.linkedin.com/in/christophertwyman/

Ken Haynes, VP of Product Development and co-founder
ken@boomwriter.com
www.linkedin.com/pub/ken-haynes/56/980/a7

@BoomWriter_
@BoomWriterKids","[
{
""name"":"" Chris Twyman”, 
""title"":"" Co-Founder & CEO"",
""email"":""chris@boomwriter.com"",
""linkedin"":"""",
""twitter"":""www.linkedin.com/in/christophertwyman/"",
},
{
""name"":""Ken Haynes”, 
""title"":""VP of Product Development and co-founder"",
""email"":""ken@boomwriter.com"",
""linkedin"":""www.linkedin.com/pub/ken-haynes/56/980/a7"",
""twitter"":"""",
},
]",http://boomwriter.com,7,"BoomWriter Media engages children and educators in content creation and storytelling collaboration. Our award-winning, Web-based publishing platform brings passionate educators, technology experts, corporate sponsors, and enthusiastic parents together to help students develop their writing, reading, critical thinking and other essential 21st century literacy skills. ",Private,"$700,000 in June 2012","""[
    {
        """"funding_date"""":""""6/2011"""",
        """"funding_amount"""":""""700,000"""",
    },""",Tara Greco,"VP, Marketing",tara@boomwriter.com
6/4/2013 11:26:43,Worldwide Center of Mathematics,"The Worldwide Center of Mathematics is changing the way you access mathematics.

It is our mission to make mathematics more accessible by using technology to keep costs low and quality high. We publish both open (free) and affordable textbooks and resources.

Founded in 2008 by David B. Massey, the Center of Math is located in Cambridge, Massachusetts- one of the truly great hubs of mathematical research in the world.",929 Massachusetts Ave.,Cambridge,MA,2139,2008,Publishing,http://www.centerofmath.org/,https://www.facebook.com/centerofmath,https://twitter.com/,http://www.linkedin.com/company/worldwide-center-of-mathematics-llc?goback=%2Enmp_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1&trk=company_logo,http://centerofmath.tumblr.com/,"Adam Zelenka (director of opperations), adam@centerofmath.org, http://www.linkedin.com/profile/view?id=43189863&locale=en_US&trk=tyah

Ruairi Collins (director of technology), RDC@centerofmath.org, http://www.linkedin.com/profile/view?id=35764514&locale=en_US&trk=tya

Lucas Merat (Marketing Manager), Lucas@centerofmath.org, http://www.linkedin.com/profile/view?id=146390198&goback=%2Enmp_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1&trk=spm_pic

Peter Runstadler (Office Manager), peter@centerofmath.org, http://www.linkedin.com/profile/view?id=223259990&locale=en_US&trk=tyah","[
{
""name"":""Adam Zelenka”, 
""title"":""director of operations"",
""email"":""adam@centerofmath.org"",
""linkedin"":""www.linkedin.com/in/christophertwyman/"",
""twitter"":"""",
},
{
""name"":""Adam Zelenka”, 
""title"":""director of technology"",
""email"":""RDC@centerofmath.org"",
""linkedin"":""http://www.linkedin.com/profile/view?id=35764514&locale=en_US&trk=tya"",
""twitter"":"""",
},
{
""name"":""Lucas Merat”, 
""title"":""Marketing Manager"",
""email"":""Lucas@centerofmath.org"",
""linkedin"":""http://www.linkedin.com/profile/view?id=146390198&goback=%2Enmp_*1_*1_*1_*1_*1_*1_*1_*1_*1_*1&trk=spm_pic"",
""twitter"":"""",
},
{
""name"":""Peter Runstadler”, 
""title"":""office manager"",
""email"":""peter@centerofmath.org"",
""linkedin"":""http://www.linkedin.com/profile/view?id=35764514&locale=en_US&trk=tya"",
""twitter"":"""",
},
]",https://lh5.googleusercontent.com/-DAHfrGfgjWo/UUnMDQ89UtI/AAAAAAAAAj4/0QUY2HJCm78/s298-no/FIxed+G%252B+sigma.jpg,6,"Our biggest point of innovation is in our price point. Many companies are rushing to completely change the publishing industry and abandon the textbook before addressing the simple issue of a price point of over $200 for a mathematics textbook. We believe this is the wrong innovative mindset. We use technology to create digital textbooks that are extremely affordable in price. In addition to this, we create additional resources such as lecture videos and solution videos free of charge. Our products are everything a student needs to succeed in their mathematics courses for a price they can afford. To top this off, the small nature of our company allows for great customer relationships, easy adoption of our textbooks and stellar customer service. ",Private,N/A,"        ""funding_date"":""11/2012"",",Adam Zelenka,Director of Opperations,adam@centerofmath.org
6/4/2013 11:29:05,Analogue Studio,"Analogue Studio is an architecture and branding firm that that fosters innovation, learning and culture. Our interdisciplinary team has designed award-winning buildings and spaces as well as products, identities, publications, posters, books, websites, and digital installations. Analogue Studio was recently recognized as one of Boston’s Best Businesses by Boston Magazine for their work with non-profits and as a 50 on Fire Finalist by BostInno for their role in the entrepreneurship community. In 2012, they contributed nearly 1,000 man-hours, or 20% of total staff time, to supporting local and regional non-profit organizations. Current clients include Workbar, The Grommet, MassChallenge, EC English, the Boston Society of Architects and the Electronic Music Foundation.","1 Marina Park Drive, 14th Floor",Boston,MA,2210,2011,Architecture & Planning,www.analoguestudio.com,https://www.facebook.com/pages/Analogue-Studio/207530395933661,https://twitter.com/analoguestudio,http://www.linkedin.com/company/2216756?trk=tyah,www.analoguestudio.com,"Vince Pan
Principal
vince@analoguestudio.com

http://www.linkedin.com/in/vincepan/
https://twitter.com/analoguestudio","[
{
""name"":""Vince Pan”, 
""title"":""Principal"",
""email"":""vince@analoguestudio.com"",
""linkedin"":""http://www.linkedin.com/in/vincepan/"",
""twitter"":""https://twitter.com/analoguestudio"",
},
]",http://www.analoguestudio.com/wordpress/wp-content/uploads/2013/06/20110325_analogue_LOGO_blk-hi.jpg,6,"Analogue Studio combines architectural and interdisciplinary design expertise to create spaces that resonate with our clients. Whether it is a startup moving into its first purpose-built space, a family renovating or building a new home, or an established institution seeking to chart a new course, Analogue Studio seeks partnerships with clients striving to realize a vision. To comprehensively realize that vision, Analogue Studio examines the entire ecosystem of each project – studying its abstract, economic, pragmatic, and human context to discover unforeseen opportunities, and design novel solutions.",Private,N/A,"        ""funding_amount"":""100,000"",",Vince Pan,Principal,vince@analoguestudio.com
6/4/2013 11:30:05,Retail Concepts,Retail Concepts is a boutique consulting firm that assists start-up and existing retailers to open and grow their businesses. We are experienced retailers who can help you from starting out with your business plan after vetting your concept together to analyzing ways to grow or address existing challenges in your store.,167 Washington St.,Norwell,MA,2061,1998,Retail,http://www.retailconcepts.com,https://www.facebook.com/Retailconcepts,https://twitter.com/RetailConcepts/,http://www.linkedin.com/company/907724?trk=tyah,http://www.retailconcepts.com/about-us/shop-talk-newsletter,"Mike Tesler, Founder & Veteran Shopper 
Alyson Anderson, Savvy Shopper 
Ani Collum, Power Shopper
Samantha Cohen, Mobile Shopper","[
{
""name"":""Mike Tesler"",
""title"":""Founder &Veteran Shopper"",
""email"":"""",
},
{
""name"":""Alyson Anderson"", 
""title"":""Savvy Shopper"",
},
{
""name"":""Alyson Anderson"",
""title"":""Savvy Shopper"",
""email"":"""",
""linkedin"":"""",
""twitter"":"""",
},
{
""name"":""Ani Collum"",
""title"":""Power Shopper"",
""email"":"""",
""linkedin"":"""",
""twitter"":"""",
},
{
""name"":""Samantha Cohen"",
""title"":""Mobile Shopper"",
""email"":"""",
""linkedin"":"""",
""twitter"":"""",
},
]",https://www.facebook.com/photo.php?fbid=267548731774&set=a.443213441774.237224.57180756774&type=1&theater,4,"Retail Concepts solves both everyday retail problems (inventory management, branding, marketing, etc.) and bigger, more segment and industry related issues (competition, brick & mortar vs. ecommerce, etc.). We work with clients (mainly small retailers) to create the most unique retail idea possible, with best practices galore. 

We look at retail under a different lens when compared to competitors... we look at retail and marketing/ branding as holistic- everything is intertwined and plays off of each other and therefore every touchpoint needs to tell the brands distinct story. Unlike many of our older, male competitors, we are a great combination of ages and primarily female which gives our team a unique vantage point. ",Private,N/A,"    },",Sammy,Manager,samantha@retailconcepts.com
6/4/2013 11:30:15,Intrepid Pursuits,"Intrepid Pursuits is a mobile development company in Cambridge. Founded in 2010 by serial entrepreneur Mark Kasdorf, Intrepid's rapid growing 21 person team focuses exclusively on creating beautiful native mobile experiences for clients and partners ranging from Fortune 500 companies to promising startups. ",222 3rd St.,Cambridge,MA,2142,2010,Accounting,intrepid.io,https://www.facebook.com/intpd,https://twitter.com/Intpd,http://www.linkedin.com/company/1521295?trk=prof-0-ovw-curr_pos,http://intrepid.io/blog/,"Mark Kasdorf, CEO
mark@intrepid.io
www.linkedin.com/in/markkasdorf
https://twitter.com/markkasdorf

Matt Bridges, CTO
matt@intrepid.io
www.linkedin.com/in/mfbridges
https://twitter.com/rrridges

Kevin Kerl, COO
kevin@intrepid.io
www.linkedin.com/pub/kevin-kerl/13/a97/6a8

Andrea Squitieri, VP Marketing
andrea@intrepid.io
www.linkedin.com/in/andreasquitieri
https://twitter.com/andreasquit
","[
{
""name"":""Mark Kasdorf"", 
""title"":""CEO""
""email"":""mark@intrepid.io"",
""linkedin"":""www.linkedin.com/in/markkasdorf""
""twitter"":""https://twitter.com/markkasdorf""
},
{
""name"":""Matt Bridges"", 
""title"":""CTO""
""email"":""matt@intrepid.io"",
""linkedin"":""www.linkedin.com/in/mfbridges""
""twitter"":""https://twitter.com/rrridges""
},
{
""name"":""Kevin Kerl"",
""title"":""COO""
""email"":""kevin@intrepid.io""
""linkedin"":""www.linkedin.com/pub/kevin-kerl/13/a97/6a8""
""twitter"":"""",
},
{
""name"":""Andrea Squitieri,""
""title"":""VP Marketing""
""email"":""andrea@intrepid.io""
""linkedin"":""www.linkedin.com/in/andreasquitieri""
""twitter:""https://twitter.com/andreasquit""
},
]
",https://s3.amazonaws.com/uploads.hipchat.com/15467/59469/i8sfpu2djm0goqh/ip-logo-letterhead.png,21,"Intrepid Pursuits is a mobile development company in Cambridge. Founded in 2010 by serial entrepreneur Mark Kasdorf, Intrepid’s mission is to continuously challenge the boundaries of software development to create amazing mobile experiences. Over the last two years, Intrepid has grown to a 25-person team, including developers, UI/UX designers, and a marketing team. Focused exclusively on creating native mobile experiences, Intrepid has worked with a wide range of of customers, from Fortune 500 companies like Adidas to innovative local startups such as The Tap Lab and Lucky Labs.

In addition to building mobile apps on a consulting basis, the Intrepid Pursuits team spends 20% of their time and resources creating their own products. In fact, Intrepid Pursuits is the company behind one of the most popular music mobile applications - Timbre. Upon launch, the application was named the number one “New and Noteworthy” app in the Apple App Store. In late 2012, Timbre secured a round of seed funding led by Boston Seed Capital, Atlas Venture, and Bantam Group, and has since expanded into 36 countries and 22 languages.  

In the thriving Boston startup community, Intrepid Pursuits also established one of the most innovative co-working spaces in the area - Intrepid Labs. Located in the American Twine building in Kendall Square, Intrepid Labs has transformed a beautiful 10,000 square foot penthouse into the home of a variety of innovative startups.",Private,N/A,],Tong Yu,Marketing Associate,tong@intrepid.io
6/4/2013 11:35:06,onthebar,"onthebar, a MassChallenge finalist, is an app and website for bartenders and their regulars. bar staff in over 1000 bars and restaurants in the Boston area use onthebar to convert patrons into regulars, drive repeat business, and generate point-of-­sale, influencer-based drink recommendations for the $20b spirits and cocktail industry.",ONE Marina Park Drive,Boston, MA,2210,2012,Marketing & Advertising,http://www.onthebar.com,facebook.com/onthebar,twitter.com/onthebar,linkedin.com/onthebar,blog.onthebar.com,"Ian Stanczyk, co-founder, ian@onthebar.com, twitter.com/istanb4u, http://www.linkedin.com/pub/ian-stanczyk/3/13a/572
TJ Connelly, co-founder, tj@onthebar.com, twitter.com/senatorjohn, http://www.linkedin.com/in/tjconnelly
Anthony Roldan, developer, anthony@onthebar.com, twitter.com/aroldan","[
{
""name"":""Ian Stanczyk"",
""title"":""co-founder"",
""email"":""ian@onthebar.com"",
""linkedin"":""http://www.linkedin.com/pub/ian-stanczyk/3/13a/572"",
""twitter"":""twitter.com/istanb4u"",
}, 
{
""name"":""TJ Connelly"",
""title"":""co-founder"",
""email"":""tj@onthebar.com"",
""linkedin"":""http://www.linkedin.com/in/tjconnelly"",
""twitter"":""twitter.com/senatorjohn"",
}, 
{
""name"":""Anthony Roldan"",
""title"":""developer"",
""email"":""anthony@onthebar.com"",
""linkedin"":"""",
""twitter"":""twitter.com/aroldan"",
}
]",onthebar.com/images/small_icon_type.png,3,"onthebar works with brands to deliver a direct and measurable on-­premise marketing platform that turns bar staff into an army of brand advocates. it is currently used by some of the largest brands in the spirits industry including Grey Goose, Bacardi, & Drambuie.",Private,"""N/A""",,TJ Connelly,Co-founder,tj@onthebar.com
